Data Table for Daily Death Trends - Delaware
Date generated: Mon Nov 15 2021 12:08:07 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Delaware,May  8 2021,7
Delaware,May  7 2021,0
Delaware,May  6 2021,1
Delaware,May  5 2021,2
Delaware,May  4 2021,0
Delaware,May  3 2021,0
Delaware,May  2 2021,0
Delaware,May  1 2021,1
Delaware,Apr 30 2021,1
Delaware,Apr 29 2021,2
Delaware,Apr 28 2021,5
Delaware,Apr 27 2021,0
Delaware,Apr 26 2021,1
Delaware,Apr 25 2021,1
Delaware,Apr 24 2021,6
Delaware,Apr 23 2021,5
Delaware,Apr 22 2021,1
Delaware,Apr 21 2021,0
Delaware,Apr 20 2021,1
Delaware,Apr 19 2021,0
Delaware,Apr 18 2021,0
Delaware,Apr 17 2021,6
Delaware,Apr 16 2021,1
Delaware,Apr 15 2021,4
Delaware,Apr 14 2021,4
Delaware,Apr 13 2021,6
Delaware,Apr 12 2021,3
Delaware,Apr 11 2021,1
Delaware,Apr 10 2021,4
Delaware,Apr  9 2021,5
Delaware,Apr  8 2021,1
Delaware,Apr  7 2021,0
Delaware,Apr  6 2021,1
Delaware,Apr  5 2021,0
Delaware,Apr  4 2021,1
Delaware,Apr  3 2021,0
Delaware,Apr  2 2021,6
Delaware,Apr  1 2021,0
Delaware,Mar 31 2021,0
Delaware,Mar 30 2021,7
Delaware,Mar 29 2021,8
Delaware,Mar 28 2021,0
Delaware,Mar 27 2021,8
Delaware,Mar 26 2021,0
Delaware,Mar 25 2021,1
Delaware,Mar 24 2021,0
Delaware,Mar 23 2021,4
Delaware,Mar 22 2021,2
Delaware,Mar 21 2021,3
Delaware,Mar 20 2021,4
Delaware,Mar 19 2021,5
Delaware,Mar 18 2021,1
Delaware,Mar 17 2021,2
Delaware,Mar 16 2021,3
Delaware,Mar 15 2021,4
Delaware,Mar 14 2021,3
Delaware,Mar 13 2021,8
Delaware,Mar 12 2021,2
Delaware,Mar 11 2021,2
Delaware,Mar 10 2021,10
Delaware,Mar  9 2021,7
Delaware,Mar  8 2021,2
Delaware,Mar  7 2021,9
Delaware,Mar  6 2021,11
Delaware,Mar  5 2021,9
Delaware,Mar  4 2021,4
Delaware,Mar  3 2021,14
Delaware,Mar  2 2021,4
Delaware,Mar  1 2021,0
Delaware,Feb 28 2021,4
Delaware,Feb 27 2021,0
Delaware,Feb 26 2021,12
Delaware,Feb 25 2021,4
Delaware,Feb 24 2021,23
Delaware,Feb 23 2021,11
Delaware,Feb 22 2021,1
Delaware,Feb 21 2021,1
Delaware,Feb 20 2021,23
Delaware,Feb 19 2021,17
Delaware,Feb 18 2021,10
Delaware,Feb 17 2021,25
Delaware,Feb 16 2021,8
Delaware,Feb 15 2021,0
Delaware,Feb 14 2021,1
Delaware,Feb 13 2021,13
Delaware,Feb 12 2021,7
Delaware,Feb 11 2021,17
Delaware,Feb 10 2021,24
Delaware,Feb  9 2021,13
Delaware,Feb  8 2021,0
Delaware,Feb  7 2021,6
Delaware,Feb  6 2021,11
Delaware,Feb  5 2021,56
Delaware,Feb  4 2021,5
Delaware,Feb  3 2021,22
Delaware,Feb  2 2021,7
Delaware,Feb  1 2021,11
Delaware,Jan 31 2021,9
Delaware,Jan 30 2021,3
Delaware,Jan 29 2021,3
Delaware,Jan 28 2021,3
Delaware,Jan 27 2021,7
Delaware,Jan 26 2021,16
Delaware,Jan 25 2021,8
Delaware,Jan 24 2021,5
Delaware,Jan 23 2021,9
Delaware,Jan 22 2021,0
Delaware,Jan 21 2021,1
Delaware,Jan 20 2021,5
Delaware,Jan 19 2021,5
Delaware,Jan 18 2021,0
Delaware,Jan 17 2021,0
Delaware,Jan 16 2021,14
Delaware,Jan 15 2021,7
Delaware,Jan 14 2021,1
Delaware,Jan 13 2021,3
Delaware,Jan 12 2021,5
Delaware,Jan 11 2021,14
Delaware,Jan 10 2021,3
Delaware,Jan  9 2021,0
Delaware,Jan  8 2021,20
Delaware,Jan  7 2021,2
Delaware,Jan  6 2021,0
Delaware,Jan  5 2021,10
Delaware,Jan  4 2021,7
Delaware,Jan  3 2021,0
Delaware,Jan  2 2021,0
Delaware,Jan  1 2021,0
Delaware,Dec 31 2020,9
Delaware,Dec 30 2020,23
Delaware,Dec 29 2020,0
Delaware,Dec 28 2020,1
Delaware,Dec 27 2020,2
Delaware,Dec 26 2020,4
Delaware,Dec 25 2020,3
Delaware,Dec 24 2020,16
Delaware,Dec 23 2020,0
Delaware,Dec 22 2020,1
Delaware,Dec 21 2020,9
Delaware,Dec 20 2020,4
Delaware,Dec 19 2020,4
Delaware,Dec 18 2020,9
Delaware,Dec 17 2020,12
Delaware,Dec 16 2020,0
Delaware,Dec 15 2020,17
Delaware,Dec 14 2020,0
Delaware,Dec 13 2020,1
Delaware,Dec 12 2020,0
Delaware,Dec 11 2020,9
Delaware,Dec 10 2020,3
Delaware,Dec  9 2020,0
Delaware,Dec  8 2020,10
Delaware,Dec  7 2020,0
Delaware,Dec  6 2020,11
Delaware,Dec  5 2020,0
Delaware,Dec  4 2020,3
Delaware,Dec  3 2020,0
Delaware,Dec  2 2020,2
Delaware,Dec  1 2020,0
Delaware,Nov 30 2020,5
Delaware,Nov 29 2020,2
Delaware,Nov 28 2020,7
Delaware,Nov 27 2020,2
Delaware,Nov 26 2020,1
Delaware,Nov 25 2020,3
Delaware,Nov 24 2020,0
Delaware,Nov 23 2020,9
Delaware,Nov 22 2020,2
Delaware,Nov 21 2020,0
Delaware,Nov 20 2020,4
Delaware,Nov 19 2020,0
Delaware,Nov 18 2020,0
Delaware,Nov 17 2020,3
Delaware,Nov 16 2020,3
Delaware,Nov 15 2020,0
Delaware,Nov 14 2020,2
Delaware,Nov 13 2020,2
Delaware,Nov 12 2020,8
Delaware,Nov 11 2020,0
Delaware,Nov 10 2020,2
Delaware,Nov  9 2020,4
Delaware,Nov  8 2020,2
Delaware,Nov  7 2020,0
Delaware,Nov  6 2020,0
Delaware,Nov  5 2020,0
Delaware,Nov  4 2020,4
Delaware,Nov  3 2020,0
Delaware,Nov  2 2020,2
Delaware,Nov  1 2020,0
Delaware,Oct 31 2020,2
Delaware,Oct 30 2020,19
Delaware,Oct 29 2020,1
Delaware,Oct 28 2020,2
Delaware,Oct 27 2020,1
Delaware,Oct 26 2020,0
Delaware,Oct 25 2020,5
Delaware,Oct 24 2020,2
Delaware,Oct 23 2020,0
Delaware,Oct 22 2020,8
Delaware,Oct 21 2020,2
Delaware,Oct 20 2020,2
Delaware,Oct 19 2020,0
Delaware,Oct 18 2020,2
Delaware,Oct 17 2020,2
Delaware,Oct 16 2020,1
Delaware,Oct 15 2020,1
Delaware,Oct 14 2020,1
Delaware,Oct 13 2020,0
Delaware,Oct 12 2020,5
Delaware,Oct 11 2020,0
Delaware,Oct 10 2020,3
Delaware,Oct  9 2020,0
Delaware,Oct  8 2020,2
Delaware,Oct  7 2020,3
Delaware,Oct  6 2020,1
Delaware,Oct  5 2020,0
Delaware,Oct  4 2020,0
Delaware,Oct  3 2020,0
Delaware,Oct  2 2020,3
Delaware,Oct  1 2020,6
Delaware,Sep 30 2020,1
Delaware,Sep 29 2020,0
Delaware,Sep 28 2020,1
Delaware,Sep 27 2020,1
Delaware,Sep 26 2020,2
Delaware,Sep 25 2020,1
Delaware,Sep 24 2020,0
Delaware,Sep 23 2020,2
Delaware,Sep 22 2020,1
Delaware,Sep 21 2020,0
Delaware,Sep 20 2020,6
Delaware,Sep 19 2020,0
Delaware,Sep 18 2020,2
Delaware,Sep 17 2020,0
Delaware,Sep 16 2020,1
Delaware,Sep 15 2020,0
Delaware,Sep 14 2020,1
Delaware,Sep 13 2020,4
Delaware,Sep 12 2020,0
Delaware,Sep 11 2020,0
Delaware,Sep 10 2020,4
Delaware,Sep  9 2020,0
Delaware,Sep  8 2020,0
Delaware,Sep  7 2020,0
Delaware,Sep  6 2020,0
Delaware,Sep  5 2020,1
Delaware,Sep  4 2020,2
Delaware,Sep  3 2020,0
Delaware,Sep  2 2020,1
Delaware,Sep  1 2020,0
Delaware,Aug 31 2020,1
Delaware,Aug 30 2020,0
Delaware,Aug 29 2020,0
Delaware,Aug 28 2020,0
Delaware,Aug 27 2020,0
Delaware,Aug 26 2020,0
Delaware,Aug 25 2020,0
Delaware,Aug 24 2020,0
Delaware,Aug 23 2020,4
Delaware,Aug 22 2020,0
Delaware,Aug 21 2020,5
Delaware,Aug 20 2020,0
Delaware,Aug 19 2020,0
Delaware,Aug 18 2020,2
Delaware,Aug 17 2020,0
Delaware,Aug 16 2020,0
Delaware,Aug 15 2020,0
Delaware,Aug 14 2020,0
Delaware,Aug 13 2020,0
Delaware,Aug 12 2020,2
Delaware,Aug 11 2020,0
Delaware,Aug 10 2020,0
Delaware,Aug  9 2020,0
Delaware,Aug  8 2020,1
Delaware,Aug  7 2020,3
Delaware,Aug  6 2020,0
Delaware,Aug  5 2020,0
Delaware,Aug  4 2020,2
Delaware,Aug  3 2020,0
Delaware,Aug  2 2020,0
Delaware,Aug  1 2020,0
Delaware,Jul 31 2020,4
Delaware,Jul 30 2020,0
Delaware,Jul 29 2020,0
Delaware,Jul 28 2020,1
Delaware,Jul 27 2020,1
Delaware,Jul 26 2020,0
Delaware,Jul 25 2020,1
Delaware,Jul 24 2020,49
Delaware,Jul 23 2020,0
Delaware,Jul 22 2020,2
Delaware,Jul 21 2020,2
Delaware,Jul 20 2020,2
Delaware,Jul 19 2020,0
Delaware,Jul 18 2020,0
Delaware,Jul 17 2020,2
Delaware,Jul 16 2020,0
Delaware,Jul 15 2020,0
Delaware,Jul 14 2020,3
Delaware,Jul 13 2020,1
Delaware,Jul 12 2020,0
Delaware,Jul 11 2020,0
Delaware,Jul 10 2020,0
Delaware,Jul  9 2020,1
Delaware,Jul  8 2020,2
Delaware,Jul  7 2020,1
Delaware,Jul  6 2020,2
Delaware,Jul  5 2020,0
Delaware,Jul  4 2020,0
Delaware,Jul  3 2020,2
Delaware,Jul  2 2020,0
Delaware,Jul  1 2020,1
Delaware,Jun 30 2020,2
Delaware,Jun 29 2020,0
Delaware,Jun 28 2020,0
Delaware,Jun 27 2020,0
Delaware,Jun 26 2020,0
Delaware,Jun 25 2020,2
Delaware,Jun 24 2020,0
Delaware,Jun 23 2020,1
Delaware,Jun 22 2020,69
Delaware,Jun 21 2020,0
Delaware,Jun 20 2020,2
Delaware,Jun 19 2020,0
Delaware,Jun 18 2020,2
Delaware,Jun 17 2020,5
Delaware,Jun 16 2020,2
Delaware,Jun 15 2020,1
Delaware,Jun 14 2020,1
Delaware,Jun 13 2020,4
Delaware,Jun 12 2020,4
Delaware,Jun 11 2020,0
Delaware,Jun 10 2020,1
Delaware,Jun  9 2020,3
Delaware,Jun  8 2020,12
Delaware,Jun  7 2020,0
Delaware,Jun  6 2020,8
Delaware,Jun  5 2020,2
Delaware,Jun  4 2020,2
Delaware,Jun  3 2020,11
Delaware,Jun  2 2020,2
Delaware,Jun  1 2020,4
Delaware,May 31 2020,3
Delaware,May 30 2020,5
Delaware,May 29 2020,5
Delaware,May 28 2020,11
Delaware,May 27 2020,1
Delaware,May 26 2020,7
Delaware,May 25 2020,11
Delaware,May 24 2020,2
Delaware,May 23 2020,0
Delaware,May 22 2020,2
Delaware,May 21 2020,5
Delaware,May 20 2020,7
Delaware,May 19 2020,6
Delaware,May 18 2020,7
Delaware,May 17 2020,11
Delaware,May 16 2020,15
Delaware,May 15 2020,0
Delaware,May 14 2020,11
Delaware,May 13 2020,13
Delaware,May 12 2020,10
Delaware,May 11 2020,12
Delaware,May 10 2020,1
Delaware,May  9 2020,11
Delaware,May  8 2020,0
Delaware,May  7 2020,20
Delaware,May  6 2020,6
Delaware,May  5 2020,5
Delaware,May  4 2020,5
Delaware,May  3 2020,9
Delaware,May  2 2020,9
Delaware,May  1 2020,7
Delaware,Apr 30 2020,0
Delaware,Apr 29 2020,8
Delaware,Apr 28 2020,7
Delaware,Apr 27 2020,12
Delaware,Apr 26 2020,13
Delaware,Apr 25 2020,12
Delaware,Apr 24 2020,0
Delaware,Apr 23 2020,8
Delaware,Apr 22 2020,3
Delaware,Apr 21 2020,17
Delaware,Apr 20 2020,0
Delaware,Apr 19 2020,5
Delaware,Apr 18 2020,6
Delaware,Apr 17 2020,9
Delaware,Apr 16 2020,6
Delaware,Apr 15 2020,3
Delaware,Apr 14 2020,2
Delaware,Apr 13 2020,6
Delaware,Apr 12 2020,2
Delaware,Apr 11 2020,1
Delaware,Apr 10 2020,9
Delaware,Apr  9 2020,4
Delaware,Apr  8 2020,3
Delaware,Apr  7 2020,1
Delaware,Apr  6 2020,1
Delaware,Apr  5 2020,0
Delaware,Apr  4 2020,0
Delaware,Apr  3 2020,2
Delaware,Apr  2 2020,1
Delaware,Apr  1 2020,1
Delaware,Mar 31 2020,3
Delaware,Mar 30 2020,1
Delaware,Mar 29 2020,1
Delaware,Mar 28 2020,3
Delaware,Mar 27 2020,0
Delaware,Mar 26 2020,2
Delaware,Mar 25 2020,0
Delaware,Mar 24 2020,0
Delaware,Mar 23 2020,0
Delaware,Mar 22 2020,0
Delaware,Mar 21 2020,0
Delaware,Mar 20 2020,0
Delaware,Mar 19 2020,0
Delaware,Mar 18 2020,0
Delaware,Mar 17 2020,0
Delaware,Mar 16 2020,0
Delaware,Mar 15 2020,0
Delaware,Mar 14 2020,0
Delaware,Mar 13 2020,0
Delaware,Mar 12 2020,0
Delaware,Mar 11 2020,0
Delaware,Mar 10 2020,0
Delaware,Mar  9 2020,0
Delaware,Mar  8 2020,0
Delaware,Mar  7 2020,0
Delaware,Mar  6 2020,0
Delaware,Mar  5 2020,0
Delaware,Mar  4 2020,0
Delaware,Mar  3 2020,0
Delaware,Mar  2 2020,0
Delaware,Mar  1 2020,0
Delaware,Feb 29 2020,0
Delaware,Feb 28 2020,0
Delaware,Feb 27 2020,0
Delaware,Feb 26 2020,0
Delaware,Feb 25 2020,0
Delaware,Feb 24 2020,0
Delaware,Feb 23 2020,0
Delaware,Feb 22 2020,0
Delaware,Feb 21 2020,0
Delaware,Feb 20 2020,0
Delaware,Feb 19 2020,0
Delaware,Feb 18 2020,0
Delaware,Feb 17 2020,0
Delaware,Feb 16 2020,0
Delaware,Feb 15 2020,0
Delaware,Feb 14 2020,0
Delaware,Feb 13 2020,0
Delaware,Feb 12 2020,0
Delaware,Feb 11 2020,0
Delaware,Feb 10 2020,0
Delaware,Feb  9 2020,0
Delaware,Feb  8 2020,0
Delaware,Feb  7 2020,0
Delaware,Feb  6 2020,0
Delaware,Feb  5 2020,0
Delaware,Feb  4 2020,0
Delaware,Feb  3 2020,0
Delaware,Feb  2 2020,0
Delaware,Feb  1 2020,0
Delaware,Jan 31 2020,0
Delaware,Jan 30 2020,0
Delaware,Jan 29 2020,0
Delaware,Jan 28 2020,0
Delaware,Jan 27 2020,0
Delaware,Jan 26 2020,0
Delaware,Jan 25 2020,0
Delaware,Jan 24 2020,0
Delaware,Jan 23 2020,0
